subset,model,model_key,tp,fp,tn,fn,n_benign,n_malicious,precision_w,precision_m,recall_w,recall_m,f1_w,f1_m,accuracy,mcc,training_time_avg_s
test_match,SVM,svm,93,18,2665,4,2683,97,0.9928954275644627,0.9181695745952021,0.9920863309352518,0.9760269893295319,0.992342305872446,0.9450600781878808,0.9920863309352518,0.8923228196650922,68.03633333333333
test_match,LR,lr,94,22,2661,3,2683,97,0.9922957021149156,0.9046093507300403,0.9910071942446043,0.9804361942893591,0.991392304332318,0.9389767944993068,0.9910071942446043,0.8817913055562051,8.333666666666668
test_match,CNB,cnb,90,38,2645,7,2683,97,0.9870939927921916,0.8502427413273002,0.9838129496402878,0.9568359007266063,0.984881028635386,0.8957825679475164,0.9838129496402878,0.8000086454713172,4.275666666666667
test_match,SVM+LR,svm_lr,92,17,2666,5,2683,97,0.9927514734302914,0.9210823695897836,0.9920863309352518,0.9710587087081317,0.9923079576385169,0.9445474030848907,0.9920863309352518,0.8907401804762684,70.995
test_match,SVM+CNB,svm_cnb,90,16,2667,7,2683,97,0.9922068094807963,0.9232194013632322,0.991726618705036,0.960935788911474,0.9919030689573867,0.9412030297819436,0.991726618705036,0.8833503691061734,64.221
test_match,LR+CNB,lr_cnb,93,23,2660,4,2683,97,0.9916326305218639,0.9001113182147664,0.9902877697841727,0.9750951965602438,0.9907036886789032,0.9340949380592514,0.9902877697841727,0.8719884526144203,8.791666666666666
test_match,Ensemble,ensemble,94,16,2667,3,2683,97,0.9938403965285382,0.9267109295199183,0.9931654676258993,0.9815543456125049,0.9933717795620309,0.9523315744207728,0.9931654676258993,0.9066079691480059,82.52133333333333
test_evasion,SVM,svm,146,18,2665,1,2683,147,0.9939432781146248,0.9449344043327905,0.9932862190812721,0.9932441854863452,0.9934590459523478,0.9676773433024414,0.9932862190812721,0.9369339525494408,68.03633333333333
test_evasion,LR,lr,146,22,2661,1,2683,147,0.992841735404449,0.9343359808235842,0.9918727915194346,0.9924987512709147,0.9921277329516595,0.9613405199934667,0.9918727915194346,0.9250079528039595,8.333666666666668
test_evasion,CNB,cnb,137,38,2645,10,2683,147,0.9851500136418384,0.8895453322571967,0.9830388692579505,0.9589047695112335,0.9837318256803373,0.9209697725670163,0.9830388692579505,0.8456103379539909,4.275666666666667
test_evasion,SVM+LR,svm_lr,146,17,2666,1,2683,147,0.9942271068573668,0.947665284170767,0.9936395759717315,0.9934305440402027,0.9937942050322197,0.9692854989448296,0.9936395759717315,0.9399823928484906,70.995
test_evasion,SVM+CNB,svm_cnb,140,16,2667,7,2683,147,0.9921906419482873,0.9474090481943885,0.9918727915194346,0.9732087393287543,0.9919866655983047,0.9598994807078244,0.9918727915194346,0.9202562070648466,64.221
test_evasion,LR+CNB,lr_cnb,136,23,2660,11,2683,147,0.9885817771602844,0.9256138020998896,0.9879858657243816,0.9582987872748802,0.9882079732555781,0.9412692483293903,0.9879858657243816,0.8833080761542491,8.791666666666666
test_evasion,Ensemble,ensemble,145,16,2667,2,2683,147,0.9941274959460402,0.9499358868443528,0.9936395759717315,0.9902155420498426,0.9937758121230369,0.969097606429445,0.9936395759717315,0.9392881659151915,82.52133333333333
